"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","测试mine接口","我的-我的道具","0","0","1","0","0"
"","测试mine接口","我的-我的奖品 status=1未使用，2已使用,4使用中","0","0","1","0","0"
"","测试mine接口","我的-我的收货地址","0","0","1","0","0"
"","测试index接口","detail接口","0","0","1","0","0"
"","测试mine接口","我的-我的收货地址-添加收货地址","0","0","1","0","0"
"","测试index接口","pick接口","0","0","1","0","0"
"","测试Dome","测试用例 1","0","0","1","0","0"
"","测试mine接口","我的-我的收货地址-删除收货地址","0","0","1","0","0"
"","测试index接口","tabs接口","0","0","1","0","0"
"","测试mine接口","取config中actId","0","0","1","0","0"
"","测试mine接口","我的-幸运大抽奖-sponsor(底部声明)接口","0","0","1","0","0"
"","测试index接口","invite接口","0","0","1","0","0"
"","分享接口","detail接口","0","0","1","0","0"
"","测试mine接口","我的-我的收货地址-编辑收货地址","0","0","1","0","0"
"","测试mine接口","我的-幸运大抽奖-rule(规则)接口","0","0","1","0","0"
"","测试index接口","button接口","0","0","1","0","0"
"","测试Dome","测试用例 2","1","0","0","0","0"
"","测试mine接口","我的-profile(身份认证)接口","0","0","1","0","0"
"","测试mine接口","我的-幸运大抽奖-detail(奖品列表)接口","0","0","1","0","0"
"","分享接口","share","0","0","1","0","0"
"","测试mine接口","我的-config接口","0","0","1","0","0"
